业务申请表             sq
有效身份证明           id
婚姻证明               marry
住址证明               home
收入证明               sr
驾驶证                 drive
资产证明               zc
车辆销售合同           carht
抵押租赁合同           dy
机动车销售发票         fp
商业保险单及保险批单   bx
车辆登记证             car-dj
银行委托扣款帐号       zh
补充资料               bc
银行对账单             yh
近两年财务报表         cb
上年度完税证明         shui
业务往来资料           wl
行驶证                 xs
GPS加装激活证明        GPS
家访报告               jf
